FSU_Slno,hh_no,mpce,hh_size,social_group,religion,Stratum,visitNo,educ_head,age_head,gender_head,total_land,land_used_agri,num_land_parcels,received_tech_advice,MLT,final_weight,mpce_per_capita,log_mpce,land_size_cat,educ_level,social_group_f,tech_advice_f,gender_f,land_size_f
78357,01,1000,1,3,1,07,2,1,65,2,19.099999999999998,19.04,11,0,22000,220,1000,6.907755278982137,Medium/Large (>4 acres),Illiterate,OBC,No,Female,Medium/Large (>4 acres)
78357,02,7000,7,3,1,07,2,1,53,1,19.099999999999998,19.05,12,0,22000,220,1000,6.907755278982137,Medium/Large (>4 acres),Illiterate,OBC,No,Male,Medium/Large (>4 acres)
78357,03,6000,6,3,1,07,2,4,45,1,3.04,3.02,3,0,66000,660,1000,6.907755278982137,Small (1-4 acres),Middle,OBC,No,Male,Small (1-4 acres)
78357,04,8000,7,3,1,07,2,1,70,1,3.02,3.01,3,0,66000,660,1142.857142857143,7.0412866716066596,Small (1-4 acres),Illiterate,OBC,No,Male,Small (1-4 acres)
78353,01,4000,2,1,1,07,2,1,20,1,23.14,23.07,9,0,4200,42,2000,7.600902459542082,Medium/Large (>4 acres),Illiterate,ST,No,Male,Medium/Large (>4 acres)
78353,02,6000,5,2,1,07,2,3,30,1,4,4,2,0,4200,42,1200,7.090076835776092,Small (1-4 acres),Primary,SC,No,Male,Small (1-4 acres)
78353,03,5000,4,2,1,07,2,1,50,1,4,4,2,0,4200,42,1250,7.1308988302963465,Small (1-4 acres),Illiterate,SC,No,Male,Small (1-4 acres)
78353,04,3000,2,2,1,07,2,1,25,1,4,4,2,0,4200,42,1500,7.313220387090301,Small (1-4 acres),Illiterate,SC,No,Male,Small (1-4 acres)
78351,01,7000,4,3,1,07,2,4,28,1,28.16,28.07,14,1,844800,8448,1750,7.4673710669175595,Medium/Large (>4 acres),Middle,OBC,Yes,Male,Medium/Large (>4 acres)
78351,02,4000,4,3,1,07,2,3,28,1,38.199999999999996,38.1,9,1,844800,8448,1000,6.907755278982137,Medium/Large (>4 acres),Primary,OBC,Yes,Male,Medium/Large (>4 acres)
78351,03,20000,7,3,1,07,2,1,50,1,4.04,4.02,3,1,484000,4840,2857.1428571428573,7.957577403480815,Medium/Large (>4 acres),Illiterate,OBC,Yes,Male,Medium/Large (>4 acres)
78355,01,6000,5,2,1,07,2,3,50,1,23.28,22.2,15,0,61875,618.75,1200,7.090076835776092,Medium/Large (>4 acres),Primary,SC,No,Male,Medium/Large (>4 acres)
78355,02,6000,4,3,1,07,2,1,32,1,27.740000000000002,25.97,15,0,61875,618.75,1500,7.313220387090301,Medium/Large (>4 acres),Illiterate,OBC,No,Male,Medium/Large (>4 acres)
78359,01,4000,2,2,1,08,2,1,62,1,22.1,22.05,8,0,6150,61.5,2000,7.600902459542082,Medium/Large (>4 acres),Illiterate,SC,No,Male,Medium/Large (>4 acres)
78359,02,11800,7,3,1,08,2,1,45,1,16.08,16.04,6,0,6150,61.5,1685.7142857142858,7.429944661398443,Medium/Large (>4 acres),Illiterate,OBC,No,Male,Medium/Large (>4 acres)
78359,03,5000,2,9,1,08,2,3,60,1,10.06,10.030000000000001,3,0,6150,61.5,2500,7.824046010856292,Medium/Large (>4 acres),Primary,Others,No,Male,Medium/Large (>4 acres)
78358,01,2500,2,2,1,08,2,1,60,1,29.62,29.39,12,0,1402950,14029.5,1250,7.1308988302963465,Medium/Large (>4 acres),Illiterate,SC,No,Male,Medium/Large (>4 acres)
78358,02,4000,4,3,1,08,2,1,23,1,36.46,36.33,12,0,1402950,14029.5,1000,6.907755278982137,Medium/Large (>4 acres),Illiterate,OBC,No,Male,Medium/Large (>4 acres)
78356,01,5000,6,2,1,08,2,3,32,1,24.099999999999998,24.05,9,0,166100,1661,833.3333333333334,6.725433722188183,Medium/Large (>4 acres),Primary,SC,No,Male,Medium/Large (>4 acres)
78356,02,1500,1,9,1,08,2,1,70,2,18.259999999999998,18.12,11,1,166100,1661,1500,7.313220387090301,Medium/Large (>4 acres),Illiterate,Others,Yes,Female,Medium/Large (>4 acres)
78356,03,12000,11,2,1,08,2,1,55,1,4.06,4.029999999999999,3,0,22650,226.5,1090.909090909091,6.994766655971767,Medium/Large (>4 acres),Illiterate,SC,No,Male,Medium/Large (>4 acres)
78356,04,10000,5,2,1,08,2,2,55,1,3.04,3.02,3,0,22650,226.5,2000,7.600902459542082,Small (1-4 acres),Below Primary,SC,No,Male,Small (1-4 acres)
78354,01,6300,5,1,1,08,2,1,35,1,17.099999999999998,17.04,13,0,585600,5856,1260,7.138866999945524,Medium/Large (>4 acres),Illiterate,ST,No,Male,Medium/Large (>4 acres)
78354,02,9400,6,1,1,08,2,3,50,1,24.18,24.080000000000002,14,0,585600,5856,1566.6666666666667,7.35670549903004,Medium/Large (>4 acres),Primary,ST,No,Male,Medium/Large (>4 acres)
78350,01,7508,5,1,1,15,2,1,58,1,9.48,9.42,5,0,56767,567.67,1501.6,7.314286485272299,Medium/Large (>4 acres),Illiterate,ST,No,Male,Medium/Large (>4 acres)
78350,02,7492,5,2,1,15,2,1,40,1,0.06,0,2,0,56767,567.67,1498.4,7.312153151129879,Marginal (0-1 acre),Illiterate,SC,No,Male,Marginal (0-1 acre)
78350,03,7317,5,9,2,15,2,1,39,1,0.02,0,2,0,56767,567.67,1463.4,7.28851777444993,Marginal (0-1 acre),Illiterate,Others,No,Male,Marginal (0-1 acre)
78350,04,6050,5,1,1,15,2,1,35,1,0.04,0,2,0,56767,567.67,1210,7.098375638590786,Marginal (0-1 acre),Illiterate,ST,No,Male,Marginal (0-1 acre)
78350,05,4608,4,1,1,15,2,1,35,1,0.04,0,2,0,56767,567.67,1152,7.049254841255837,Marginal (0-1 acre),Illiterate,ST,No,Male,Marginal (0-1 acre)
78350,06,9600,5,1,1,15,2,1,62,1,0.04,0,2,0,56767,567.67,1920,7.560080465021827,Marginal (0-1 acre),Illiterate,ST,No,Male,Marginal (0-1 acre)
78350,07,7558,6,1,1,15,2,1,55,1,0.08,0,2,0,56767,567.67,1259.6666666666667,7.13860241468138,Marginal (0-1 acre),Illiterate,ST,No,Male,Marginal (0-1 acre)
78350,08,8833,6,1,1,15,2,1,56,1,0.06,0,2,0,56767,567.67,1472.1666666666667,7.294490517517077,Marginal (0-1 acre),Illiterate,ST,No,Male,Marginal (0-1 acre)
78350,09,6850,4,1,1,15,2,1,40,1,0.06,0,2,0,56767,567.67,1712.5,7.445709570136381,Marginal (0-1 acre),Illiterate,ST,No,Male,Marginal (0-1 acre)
78392,01,6133,4,3,1,15,2,3,40,1,15.02,14.45,15,1,110600,1106,1533.25,7.3351449445060934,Medium/Large (>4 acres),Primary,OBC,Yes,Male,Medium/Large (>4 acres)
78392,02,3800,4,3,1,15,2,3,35,1,18.66,18.57,14,1,110600,1106,950,6.856461984594587,Medium/Large (>4 acres),Primary,OBC,Yes,Male,Medium/Large (>4 acres)
78397,01,3300,3,2,1,16,2,3,24,1,7.52,7.47,8,0,41175,411.75,1100,7.003065458786462,Medium/Large (>4 acres),Primary,SC,No,Male,Medium/Large (>4 acres)
78397,02,5050,4,2,1,16,2,3,24,1,6.54,6.49,8,0,41175,411.75,1262.5,7.140849161149515,Medium/Large (>4 acres),Primary,SC,No,Male,Medium/Large (>4 acres)
78397,03,2000,2,2,1,16,2,1,65,2,4.88,1.41,6,0,5083,50.83,1000,6.907755278982137,Medium/Large (>4 acres),Illiterate,SC,No,Female,Medium/Large (>4 acres)
78397,04,1200,1,2,1,16,2,1,65,2,3.46,0,3,0,3050,30.5,1200,7.090076835776092,Small (1-4 acres),Illiterate,SC,No,Female,Small (1-4 acres)
78397,05,5300,5,2,1,16,2,1,40,1,3.46,0,3,0,3050,30.5,1060,6.966024187106113,Small (1-4 acres),Illiterate,SC,No,Male,Small (1-4 acres)
78393,01,1350,1,3,1,16,2,1,55,2,21.8,21.78,9,1,29400,294,1350,7.2078598714324755,Medium/Large (>4 acres),Illiterate,OBC,Yes,Female,Medium/Large (>4 acres)
78393,02,6967,6,2,1,16,2,1,67,1,31.06,31.04,10,0,29400,294,1161.1666666666667,7.057180525802064,Medium/Large (>4 acres),Illiterate,SC,No,Male,Medium/Large (>4 acres)
78393,03,11100,8,3,1,16,2,1,58,1,2.34,2.34,3,0,61250,612.5,1387.5,7.2352588456205895,Small (1-4 acres),Illiterate,OBC,No,Male,Small (1-4 acres)
